donor,recipient,amount
Saudi Arabia,India,7727367759
Saudi Arabia,Brazil,7405919860
Saudi Arabia,India,5037350395
Saudi Arabia,Taiwan,2932108255
Saudi Arabia,Korea,2295950261
Saudi Arabia,India,2178121340
Saudi Arabia,India,1968116993
Kuwait,Cyprus,1682456638
Kuwait,Lithuania,1632203097
Kuwait,India,1597598808
Kuwait,India,1374943658
Kuwait,India,1368234525
Kuwait,Thailand,1353434380
Kuwait,Slovak Republic,1248032061
Kuwait,Cyprus,1196452145
Kuwait,India,1178650310
Kuwait,Cyprus,1091462153
Kuwait,Cyprus,1078399998
Kuwait,Cyprus,1071333252
Kuwait,India,1062951900
Kuwait,Cyprus,1054081481
Kuwait,India,1038974472
Kuwait,India,1011193324
Kuwait,Thailand,997309800
Kuwait,Cyprus,931684692
Kuwait,India,924458742
Kuwait,Thailand,916044821
Kuwait,India,888768149
Kuwait,Thailand,862591364
Kuwait,Cyprus,855264417
Kuwait,Thailand,854803342
Kuwait,Cyprus,840015936
Qatar,United States,818474815
Qatar,United States,786489189
Qatar,United States,765597844
Qatar,United States,746269993
Qatar,United States,727185458
Qatar,United States,703811645
Qatar,United States,696882923
Qatar,United States,692722448
Qatar,United States,683563201
Qatar,United States,683107813
Qatar,United States,677153332
Qatar,United States,650438757
Qatar,United States,642181555
Qatar,United States,638140200
Qatar,United States,623401645
Qatar,United States,587432031
Qatar,United States,569950813
Brazil,South Africa,558141413
Brazil,Colombia,551936148
Brazil,Colombia,547957158
Brazil,Colombia,543437464
Brazil,Colombia,530183975
Brazil,Colombia,529456774
Brazil,Colombia,525123264
Brazil,Colombia,524992994
Brazil,Colombia,522846115
Brazil,France,520403470
Colombia,Chile,514559381
Colombia,Chile,512204554
Colombia,Colombia,502187618
Colombia,Chile,498251479
Colombia,Chile,495825145
Colombia,Chile,495171290
Colombia,Chile,493461345
Colombia,Chile,492516274
Colombia,Chile,492436110
Colombia,Chile,489072690
Colombia,Chile,485677349
Colombia,Chile,481343738
Colombia,Chile,478663535
Colombia,Thailand,471308161
Colombia,Chile,468955798
Colombia,Chile,466472751
Colombia,Chile,465335796
Colombia,Chile,463100369
Colombia,United States,459705515
Estonia,India,446421175
Estonia,Poland,442240826
Estonia,Czech Republic,433705540
Hungary,Romania,433456926
Hungary,Romania,432678714
Hungary,Romania,432085373
Hungary,Romania,429017774
Hungary,Romania,428541466
Hungary,Romania,425870120
Hungary,Romania,422190179
Hungary,Canada,416153513
Hungary,Romania,414937476
United States,Australia,414241288
United States,Sweden,413140164
United States,Chile,412182515
United States,Thailand,410824633
United States,Thailand,410710395
United States,Poland,409998787
United States,India,408935268
United States,Hungary,408834867
United States,Colombia,407464616
United States,Australia,404787650
United States,Australia,399024926
United States,Australia,397352837
United States,Australia,390476122
United States,Australia,386952538
United States,Australia,386460778
United States,Australia,385659928
United States,Australia,383301497
United States,Australia,383159954
United States,Cyprus,382884120
United States,Czech Republic,381977828
United States,Czech Republic,377723121
United States,Czech Republic,376379431
United States,Czech Republic,376379431
United States,Czech Republic,371534508
United States,Czech Republic,371418797
United States,Czech Republic,364469015
United States,Czech Republic,364106780
United States,Czech Republic,362059560
United States,Denmark,361373148
United States,Denmark,360236810
United States,Denmark,358706713
United States,Denmark,358396986
United States,Australia,356410925
United States,Australia,348718518
United States,Australia,347869883
United States,Australia,347608454
United States,Australia,346718105
United States,Australia,346370538
United States,Australia,344674218
United States,Australia,344606014
United States,India,343725461
United States,India,341996358
United States,India,341627974
United States,India,341445702
United States,India,340210052
United States,India,338520097
United States,India,337996703
United States,India,335385218
United States,India,333004856
United States,India,327545691
United States,India,327450763
United States,India,325861513
United States,India,323437883
United States,India,322026811
United States,India,319381525
United States,India,319381524
United States,India,319070100
United States,India,318270344
United States,India,317319759
United States,Australia,317175369
United States,Australia,316707918
United States,Australia,316707918
United States,Australia,316704795
United States,Australia,314834400
United States,India,312963681
United States,India,312881008
United States,Finland,312821935
United States,Finland,312659712
United States,France,306705633
United States,Brazil,304188064
United States,Brazil,304104441
United States,Brazil,303412067
United States,Brazil,302940240
United States,Brazil,301220540
United States,Brazil,300872522
United States,Greece,300365789
United States,Greece,298062052
United States,Hungary,297791588
United States,India,296538417
United States,India,295682289
United States,India,294732510
United States,Austria,293038896
United States,Austria,289745732
United States,Austria,286958910
United States,Austria,286320128
United States,Chile,283852110
United States,Chile,283554956
United States,Chile,283505378
United States,Chile,283027737
United States,Chile,282112858
United States,Chile,280666557
United States,Chile,280188927
United States,Taiwan,279757583
United States,Taiwan,278086763
United States,Taiwan,278059881
United States,Taiwan,278059881
United States,Taiwan,277449738
United States,Colombia,277419753
United States,Colombia,276896345
United States,Colombia,274017402
United States,Colombia,273653611
United States,Colombia,272863443
United States,Colombia,272863443
United States,Colombia,272863443
United States,Colombia,272863443
United States,Colombia,272863443
United States,Colombia,272240314
United States,Colombia,272183421
United States,Colombia,270773672
United States,Colombia,269257981
United States,Colombia,268715823
United States,Colombia,265562266
United States,Colombia,265134342
United States,Colombia,265134342
United States,Colombia,264271561
United States,Colombia,263661358
United States,Colombia,262503583
United States,Colombia,262077414
United States,Colombia,260446233
United States,Colombia,260365478
United States,Colombia,259548693
United States,Colombia,259540072
United States,Colombia,258079971
United States,Colombia,256561966
United States,Colombia,255541257
United States,Colombia,255535659
United States,Colombia,254150765
United States,Colombia,254096304
United States,Colombia,253057538
United States,Colombia,252266475
United States,India,251864782
United States,India,251195803
United States,Korea,250715011
United States,Korea,250140642
United States,Korea,249922924
United States,Korea,249428720
United States,Korea,249381524
United States,Korea,246689019
United States,Korea,246291940
United States,Korea,246199773
United States,Korea,246062231
United States,Romania,245601245
United States,Romania,245369884
United States,Romania,245369884
United States,Romania,245291966
United States,Ireland,245106150
United States,Ireland,244371809
United States,Ireland,244352815
United States,Ireland,244206428
