country,year,donation,receival,n
Australia,1973,46285863,0,46285863
Australia,1974,26950877,0,26950877
Australia,1975,77691781,0,77691781
Australia,1976,27718070,0,27718070
Australia,1977,72648152,0,72648152
Australia,1978,47483698,0,47483698
Australia,1979,9763598,0,9763598
Australia,1980,23283790,54502260,-31218470
Australia,1981,18425831,747648005,-729222174
Australia,1982,10458375,2599450,7858925
Australia,1983,7388539,0,7388539
Australia,1984,3698286,0,3698286
Australia,1985,6929573,0,6929573
Australia,1986,25229662,0,25229662
Australia,1987,18309923,0,18309923
Australia,1988,1758350,0,1758350
Australia,1989,163270223,0,163270223
Australia,1990,93432068,0,93432068
Australia,1991,518306838,0,518306838
Australia,1992,57379649,193553716,-136174067
Australia,1993,37557879,79262311,-41704432
Australia,1994,62005978,321233163,-259227185
Australia,1995,87263724,343759453,-256495729
Australia,1996,80468022,0,80468022
Australia,1997,99085271,0,99085271
Australia,1998,60046657,133176980,-73130323
Australia,1999,87775767,0,87775767
Australia,2000,115957719,0,115957719
Australia,2001,99427776,0,99427776
Australia,2002,45235182,696882923,-651647741
Australia,2003,94571888,0,94571888
Australia,2004,17256770,0,17256770
Australia,2005,28927690,0,28927690
Australia,2006,27058214,0,27058214
Australia,2007,13864351,0,13864351
Australia,2008,18754564,0,18754564
Australia,2009,17680084,0,17680084
Australia,2010,32806019,0,32806019
Australia,2011,41545539,0,41545539
Australia,2012,55649016,0,55649016
Australia,2013,67265056,0,67265056
Austria,1974,24126329,0,24126329
Austria,1976,12981849,0,12981849
Austria,1977,2608725,0,2608725
Austria,1978,27058314,0,27058314
Austria,1979,2480539,0,2480539
Austria,1980,2720513,157632201,-154911688
Austria,1981,53422527,163916,53258611
Austria,1982,272169,58590672,-58318503
Austria,1983,17235616,0,17235616
Austria,1985,87348212,0,87348212
Austria,1986,15801537,0,15801537
Austria,1987,77374,0,77374
Austria,1988,400964,0,400964
Austria,1989,18299145,0,18299145
Austria,1990,3458667,0,3458667
Austria,1991,43662774,0,43662774
Austria,1992,7690278,0,7690278
Austria,1993,8599286,132570772,-123971486
Austria,1994,496076,0,496076
Austria,1995,2349112,0,2349112
Austria,1996,31485810,56293,31429517
Austria,1997,18810672,0,18810672
Austria,1998,17433736,0,17433736
Austria,1999,27735866,0,27735866
Austria,2000,41623882,0,41623882
Austria,2001,64630850,171695803,-107064953
Austria,2002,64136019,249428720,-185292701
Austria,2003,57940744,0,57940744
Austria,2004,46228250,1508,46226742
Austria,2005,17870615,127534,17743081
Austria,2006,8003253,0,8003253
Austria,2007,11550522,0,11550522
Austria,2008,6949094,0,6949094
Austria,2009,7871776,0,7871776
Austria,2010,8224524,0,8224524
Austria,2011,5945013,0,5945013
Austria,2012,9369281,0,9369281
Austria,2013,7169039,0,7169039
Belgium,1973,39251336,0,39251336
Belgium,1974,43588598,0,43588598
Belgium,1975,38863307,0,38863307
Belgium,1976,36126619,0,36126619
Belgium,1977,35853879,0,35853879
Belgium,1978,32189217,0,32189217
Belgium,1979,30801519,0,30801519
Belgium,1981,61917902,36477733,25440169
Belgium,1983,46243316,0,46243316
Belgium,1985,4191839,0,4191839
Belgium,1989,183930257,0,183930257
Belgium,1990,187058124,0,187058124
Belgium,1992,470688315,0,470688315
Belgium,1993,75567601,0,75567601
Belgium,1994,26867841,0,26867841
Belgium,1995,45999593,0,45999593
Belgium,1996,25987887,0,25987887
Belgium,1997,35402467,0,35402467
Belgium,1998,25116690,0,25116690
Belgium,1999,30505209,0,30505209
Belgium,2000,32342289,0,32342289
Belgium,2001,31859079,0,31859079
Belgium,2002,63495593,0,63495593
Belgium,2003,58875247,0,58875247
Belgium,2004,52561101,0,52561101
Belgium,2005,48285276,0,48285276
Belgium,2006,58458568,0,58458568
Belgium,2007,33187081,0,33187081
Belgium,2008,53059381,0,53059381
Belgium,2009,42809116,0,42809116
Belgium,2010,41446751,0,41446751
Belgium,2011,47828984,0,47828984
Belgium,2012,35767940,0,35767940
Belgium,2013,68317348,0,68317348
Brazil,2007,50889,424596650,-424545761
Brazil,2008,168870,575890217,-575721347
Brazil,2010,914681,1059210583,-1058295902
Canada,1973,437928427,0,437928427
Canada,1974,68502158,0,68502158
Canada,1975,93027681,0,93027681
Canada,1976,116287322,0,116287322
Canada,1977,38957778,0,38957778
Canada,1978,100516271,0,100516271
Canada,1979,80241209,0,80241209
Canada,1980,139264006,531674896,-392410890
Canada,1981,546970726,2540405789,-1993435063
Canada,1982,87937147,170174807,-82237660
Canada,1983,148016945,0,148016945
Canada,1984,691336664,153022875,538313789
Canada,1985,146523445,0,146523445
Canada,1986,392105553,0,392105553
Canada,1987,331152346,0,331152346
Canada,1988,149433255,0,149433255
Canada,1989,95861356,1961661,93899695
Canada,1990,146349000,0,146349000
Canada,1991,79132048,0,79132048
Canada,1992,203523019,0,203523019
Canada,1993,129123101,83925439,45197662
Canada,1994,83435990,0,83435990
Canada,1995,140853583,0,140853583
Canada,1996,240599471,0,240599471
Canada,1997,114731583,0,114731583
Canada,1998,385748294,0,385748294
Canada,1999,434102951,0,434102951
