country,year,donation,receival,n,rank
India,1973,0,2285256534,-2285256534,1
India,1974,0,3697747278,-3697747278,1
India,1975,0,3000656166,-3000656166,1
India,1976,0,2233586413,-2233586413,1
India,1977,0,3197135157,-3197135157,1
India,1978,0,2927325215,-2927325215,1
India,1979,0,1622748901,-1622748901,1
India,1980,0,2968245303,-2968245303,1
India,1981,0,3706661088,-3706661088,1
India,1982,0,2822105457,-2822105457,1
India,1983,0,2653699004,-2653699004,1
India,1984,0,4584531386,-4584531386,1
India,1985,0,1837835819,-1837835819,1
India,1986,0,3003947484,-3003947484,1
India,1987,0,4191375895,-4191375895,1
India,1988,0,3844238228,-3844238228,1
India,1989,0,3091093501,-3091093501,1
India,1990,0,2036236423,-2036236423,1
India,1991,0,3660869551,-3660869551,1
India,1992,0,5341953099,-5341953099,1
India,1993,0,1327287513,-1327287513,1
India,1994,0,4096778597,-4096778597,1
India,1995,0,2704173002,-2704173002,1
India,1996,0,4151165519,-4151165519,1
India,1997,0,4794906726,-4794906726,1
India,1998,0,2478951563,-2478951563,1
India,1999,0,1932216592,-1932216592,1
India,2000,0,1141656334,-1141656334,1
India,2001,0,2198367696,-2198367696,1
India,2002,0,2324315788,-2324315788,1
India,2003,0,2616814261,-2616814261,1
India,2004,0,2884182630,-2884182630,1
India,2005,0,3340560624,-3340560624,1
India,2006,0,4144135136,-4144135136,1
India,2007,0,5386224705,-5386224705,1
India,2008,0,5044559917,-5044559917,1
India,2009,0,3706828324,-3706828324,1
India,2010,0,3826639675,-3826639675,1
India,2011,0,3652445742,-3652445742,1
India,2012,0,4970365576,-4970365576,1
India,2013,0,4550646147,-4550646147,1
Thailand,2007,4469,246621101,-246616632,2
Thailand,2010,20992,560953853,-560932861,2
Thailand,1973,0,206363405,-206363405,2
Thailand,1974,0,867668418,-867668418,2
Thailand,1975,0,333639956,-333639956,2
Thailand,1976,0,110042103,-110042103,2
Thailand,1977,0,715883953,-715883953,2
Thailand,1978,0,859278853,-859278853,2
Thailand,1979,0,1283439829,-1283439829,2
Thailand,1980,0,902852253,-902852253,2
Thailand,1981,0,1178204797,-1178204797,2
Thailand,1982,0,1595007194,-1595007194,2
Thailand,1983,0,1165432587,-1165432587,2
Thailand,1984,0,1135099078,-1135099078,2
Thailand,1985,0,1151123605,-1151123605,2
Thailand,1986,0,762121484,-762121484,2
Thailand,1987,0,1016033769,-1016033769,2
Thailand,1988,0,1297612686,-1297612686,2
Thailand,1989,0,626032718,-626032718,2
Thailand,1990,0,1790643316,-1790643316,2
Thailand,1991,0,1898189675,-1898189675,2
Thailand,1992,0,1014335727,-1014335727,2
Thailand,1993,0,3338548445,-3338548445,2
Thailand,1994,0,1416098158,-1416098158,2
Thailand,1995,0,792655526,-792655526,2
Thailand,1996,0,1671334558,-1671334558,2
Thailand,1997,0,6371021429,-6371021429,2
Thailand,1998,0,2437534353,-2437534353,2
Thailand,1999,0,3761639876,-3761639876,2
Thailand,2000,0,1792837766,-1792837766,2
Thailand,2001,0,532323112,-532323112,2
Thailand,2002,0,1205361664,-1205361664,2
Thailand,2003,0,289796785,-289796785,2
Thailand,2004,0,722232350,-722232350,2
Thailand,2005,0,750726362,-750726362,2
Thailand,2006,0,475487975,-475487975,2
Thailand,2008,0,938244893,-938244893,2
Thailand,2009,0,1038513059,-1038513059,2
Thailand,2011,0,196842375,-196842375,2
Thailand,2012,0,333622409,-333622409,2
Thailand,2013,0,259915985,-259915985,2
Brazil,2007,50889,424596650,-424545761,3
Brazil,2008,168870,575890217,-575721347,3
Brazil,2010,914681,1059210583,-1058295902,3
Brazil,1973,0,312075045,-312075045,3
Brazil,1974,0,306601048,-306601048,3
Brazil,1975,0,100725686,-100725686,3
Brazil,1976,0,83580485,-83580485,3
Brazil,1977,0,501438883,-501438883,3
Brazil,1978,0,151531351,-151531351,3
Brazil,1979,0,167462062,-167462062,3
Brazil,1980,0,397591374,-397591374,3
Brazil,1981,0,1019510084,-1019510084,3
Brazil,1982,0,577695039,-577695039,3
Brazil,1983,0,129429939,-129429939,3
Brazil,1984,0,643593148,-643593148,3
Brazil,1985,0,1150188786,-1150188786,3
Brazil,1986,0,398238987,-398238987,3
Brazil,1987,0,688641987,-688641987,3
Brazil,1988,0,319508348,-319508348,3
Brazil,1989,0,470795753,-470795753,3
Brazil,1990,0,546410160,-546410160,3
Brazil,1991,0,1398521154,-1398521154,3
