date,Transport,Energy,Industry,Debt,Agriculture,Water,Import Support,Social Service,Education,Communication
1973,96217323,79211752,368625281,132541425,858766039,12945348,1292424363,0,177463190,205245905
1974,172016821,675128494,623399244,992798640,254254622,210634245,870688896,0,28855382,180475251
1975,217137275,33166434,391275383,911545128,679690296,0,517032066,0,16976996,191150088
1976,352261375,342819273,255445386,541560656,388507005,101006,574164387,22193818,17162656,149204265
1977,210497584,918961550,477170617,323454521,691278427,213908081,1386422102,0,33915280,135039845
1978,437531036,678337408,196582767,386344733,655761222,218375254,583070976,185250245,18216698,230354241
1979,290518718,748322325,352076256,82055251,448638382,163874679,406417192,13874259,40587318,1937285
1980,3479548087,2032063575,1326284977,83358392,1116416939,360975842,49558789,26972340,135746529,532304667
1981,5602323994,1966050874,1661946648,34314357,944898809,110282335,292788037,11852520,343381328,915638512
1982,1356737539,1618356649,2529301651,40414174,652685746,176166159,207822618,34311851,99546653,256535896
1983,973405144,639136995,978804479,54038081,678692004,582134068,399371746,67037165,71210421,82889843
1984,1721059360,1880778598,1962636817,98838485,947108618,709233668,248245480,128568464,111648738,224313370
1985,782015264,1024661508,1920958833,1058800862,1005992796,474800958,207452434,35398961,291877323,250612157
1986,1005675331,418864070,1386186013,120884626,255481517,461544688,181517038,14708388,145711821,206058637
1987,1500263849,1219002086,1106140862,113469397,811856780,343739524,108379657,46270527,234678820,144575400
1988,385585518,1431990337,1340662221,21286553,553710875,325080430,305563550,50644947,140032912,536861890
1989,577878177,1061921057,874657424,2730649484,410501652,100929531,111566350,160515093,147761513,359637027
1990,1972798091,1614889086,921293743,2797280929,173795240,55585584,339474174,101916728,172148032,355172501
1991,1215060455,1503942116,1820303623,72352326,657829930,281208463,592689466,86187574,127379169,525363442
1992,1962259769,1826310867,2399326201,8380006664,629932529,435561809,7525551041,236084629,180877286,401439083
1993,3193726595,946663971,1853867039,348856314,279075761,509532614,108725164,52475001,187677590,346082905
1994,4791087157,2332851378,1653001352,75284596,285489958,595750618,0,147647532,349487958,245154215
1995,1298951944,1583692906,994253221,4413229670,329058978,322781212,0,203346479,312368526,310266762
1996,1883742159,1841590117,1713849358,224734141,605174936,747091771,0,113295650,608108161,1284697135
1997,3846867544,2689575740,2075304355,13567318,882801365,364625806,0,159497834,262545710,369081949
1998,1904452350,1791272992,1254690107,241091125,431517264,115976766,0,572264004,302055382,433749236
1999,6822332802,2391976000,4189295293,244959483,575780838,300898810,0,454422955,538540641,496262936
2000,3948789752,102940063,486360938,582255679,226780182,216550292,0,1475445969,426659195,521354278
2001,2874320821,678024133,615016999,634325892,157982966,210514408,5392602,522838111,933429793,531812934
2002,3755164940,641579034,99834134,384009522,176160710,199452996,0,362989869,545319004,1087367612
2003,411512520,641084137,140936510,357113673,314857446,351980008,75346408,822035221,775880027,43183702
2004,1470240943,503348584,77611975,296380499,342922660,378983678,0,875254546,1090356078,26524913
2005,638449957,409951328,53790180,0,552041350,715128592,107049,826365064,314999787,23141320
2006,881367985,589240019,747419135,14406905,384157290,575954705,0,1660308749,344389022,35491431
2007,355624194,1015268082,170876920,146312364,783994744,1314419404,0,521419047,330963396,3671011
2008,3141114633,694261271,415739076,0,299424307,396086574,71540,755879949,319062337,33296390
2009,1767222977,490055245,251279413,0,276422225,907415563,0,895464401,716741677,47705226
2010,2929337806,369292447,111641445,0,362370423,289924545,1896,348878057,397216159,62340943
2011,453225597,1543743612,425067436,3444,484930259,847594696,0,168890606,398388187,16388521
2012,2039994963,1621237193,26324775,0,538170702,1675703736,0,575251402,428847862,20866897
2013,2701146989,624791993,260661869,135725,330831307,188581189,6968056,113230040,462173089,36867728
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
