date	Transport	Energy	Industry	Debt	Agriculture	Water	Import Support	Social Service	Education	Communication
1973	2.984926176	2.457366559	11.43577077	4.111799793	26.64128609	0.401600324	40.09456084	0	5.505396581	6.367292865
1974	4.291567456	16.84346599	15.55289705	24.76887033	6.343280006	5.25501556	21.72241126	0	0.71989947	4.502592882
1975	7.34074402	1.121255215	13.22781834	30.81653966	22.97824027	0	17.47926535	0	0.573940066	6.462197084
1976	13.32597158	12.96877891	9.663443672	20.48712242	14.69713592	0.003821035	21.72051451	0.839587332	0.649259562	5.644365056
1977	4.794225902	20.92997545	10.86788593	7.366897107	15.74433719	4.871902295	31.57670803	0	0.772443611	3.075624482
1978	12.18808959	18.89611575	5.476110674	10.76221761	18.2672219	6.083173401	16.24232502	5.160426112	0.50745371	6.416866225
1979	11.40048378	29.36553138	13.81611372	3.219997543	17.60538747	6.430740962	15.94855105	0.5444512	1.592720303	0.076022593
1980	38.05600466	22.22478866	14.50565016	0.911695219	12.21031214	3.948012208	0.542027142	0.294997934	1.484667092	5.821844786
1981	47.14380984	16.54440704	13.98535622	0.288756866	7.951366221	0.928030838	2.463824576	0.099739492	2.889569408	7.705139498
1982	19.46014197	23.21263269	36.27862265	0.579674064	9.361690758	2.526810357	2.980869575	0.492146397	1.427831061	3.679580474
1983	21.50354242	14.11920778	21.62281941	1.193757989	14.9930195	12.85995323	8.822541504	1.480921413	1.573113023	1.831123727
1984	21.42638053	23.41481001	24.43390638	1.230492707	11.79105737	8.82962599	3.090539608	1.600616979	1.389974339	2.792596081
1985	11.08837122	14.52890718	27.23770958	15.01297679	14.26419929	6.732310125	2.941514962	0.501929871	4.13859455	3.553486432
1986	23.96386674	9.980957518	33.03091551	2.880515191	6.087774891	10.99797823	4.325302586	0.350480756	3.472113269	4.910095302
1987	26.65535509	21.65814598	19.65292803	2.016023429	14.42434993	6.107258451	1.925593451	0.822093613	4.169564762	2.568687252
1988	7.573242358	28.12556326	26.33179787	0.418086825	10.87537383	6.384868641	6.001539768	0.994711782	2.750370881	10.54444479
1989	8.841441963	16.24721917	13.38211609	41.77849224	6.280608399	1.544205381	1.706946979	2.455854773	2.260727076	5.502387923
1990	23.19750643	18.98896807	10.83320063	32.89233837	2.043603051	0.653613235	3.991769036	1.198406448	2.024234055	4.176360679
1991	17.65481788	21.85226591	26.44899586	1.051278669	9.558263179	4.085956529	8.611772802	1.252304703	1.850818221	7.633526257
1992	8.183805879	7.616817022	10.00663632	34.94967837	2.627198303	1.816555254	31.38608345	0.98461519	0.754367296	1.674242921
1993	40.80562115	12.09534073	23.6864972	4.457269012	3.565696511	6.510198727	1.389160193	0.670462842	2.397919925	4.421833707
1994	45.73500683	22.26905298	15.77930554	0.718655578	2.725244762	5.686946969	0	1.409421424	3.336160171	2.340205747
1995	13.29810231	16.21315583	10.17872995	45.18071659	3.368762004	3.304492979	0	2.081772381	3.197892451	3.17637551
1996	20.87877392	20.41157465	18.9957384	2.490878754	6.707558467	8.280517642	0	1.255731444	6.740069361	14.23915736
1997	36.07384938	25.22139092	19.46108512	0.127226992	8.278435145	3.419264182	0	1.495684677	2.462012089	3.461051488
1998	27.02474304	25.41869442	17.80442432	3.421154487	6.123357812	1.645744667	0	8.120595749	4.286255354	6.155030156
1999	42.60105333	14.93634217	26.15943804	1.529613448	3.595378721	1.878918344	0	2.837577278	3.362837791	3.098840883
2000	49.43936825	1.288823159	6.089303059	7.289917858	2.839317774	2.711238203	0	18.47277804	5.341829367	6.527424289
2001	40.12364293	9.46477443	8.585235957	8.854775502	2.205339108	2.938643758	0.075277205	7.298478834	13.03007077	7.423761507
2002	51.78196645	8.847074507	1.376665968	5.295311525	2.429173717	2.750363436	0	5.005460351	7.51969376	14.99429029
2003	10.46059682	16.29627862	3.582588467	9.077784927	8.003636919	8.947287805	1.915296273	20.89603256	19.7227733	1.097724307
2004	29.04682329	9.944409074	1.533341412	5.855442962	6.774953422	7.487393123	0	17.29197126	21.54162586	0.52403959
2005	18.06605945	11.60029064	1.522087329	0	15.62097661	20.23581569	0.003029139	23.38344644	8.913470532	0.654824169
2006	16.84335141	11.26065035	14.28352669	0.275322644	7.341424175	11.00676183	0	31.72927107	6.581434109	0.678257725
2007	7.660106153	21.86876319	3.680670124	3.151552281	16.88716084	28.31244987	0	11.23130911	7.128915267	0.079073174
2008	51.87692476	11.46603799	6.866118332	0	4.945127466	6.541548399	0.001181515	12.48369825	5.269458388	0.549904897
2009	33.01796902	9.1559634	4.694787235	0	5.164543796	16.95372872	0	16.73043879	13.39126686	0.89130217
2010	60.13827896	7.581444568	2.291959756	0	7.43933784	5.952049344	3.89242E-05	7.162344293	8.154708593	1.279837721
2011	10.44724117	35.5846226	9.798171258	7.93872E-05	11.17806099	19.53778927	0	3.893074231	9.183191543	0.377769553
2012	29.45246723	23.40664373	0.380064455	0	7.769850051	24.19300551	0	8.305203383	6.191499407	0.301266234
2013	57.16243825	13.22202526	5.516200359	0.002872251	7.001145896	3.990808577	0.147459976	2.396206203	9.780637917	0.78020531
