Donor,Transport(%),Energy(%),Agriculture(%),Industry(%),Debt(%),Recipient,Country,RecCountry
13,0.7,0.6,15.2,21.5,0,1,Australia,India
19,0.2,5,0.2,4.4,12.8,1,Austria,India
14,0,0.8,0.8,2.3,3.4,1,Belgium,India
7,0.5,24.9,34.5,11.1,1.2,1,Canada,India
11,0.8,5.4,15.4,13.2,1.2,1,Denmark,India
20,0,2.5,0.6,45.4,0.2,1,Finland,India
5,6.3,16.8,2.3,34.1,4,1,France,India
3,2.8,25.5,6.1,17.9,3.9,1,Germany,India
10,0,32.3,6.3,26.3,6,1,Italy,India
2,27.8,25.8,7.1,14.2,2.5,1,Japan,India
18,62.7,0,0,27.5,0,1,Korea,India
17,0.1,56,4.9,29.6,0,1,Kuwait,India
6,16.2,1.8,26.5,1.4,6.6,1,Netherlands,India
9,0.2,0.9,18.2,11.6,0.1,1,Norway,India
16,20,75.2,0,0,0,1,Saudi Arabia,India
15,39.5,0,4.3,1.2,0,1,Spain,India
8,0.1,18.7,9.8,0.6,8.9,1,Sweden,India
12,0,0.9,23.2,7.8,4.3,1,Switzerland,India
4,3.7,16,2.7,4.8,1.7,1,United Kingdom,India
1,14,11.3,8.7,10.8,1.6,1,United States,India
13,9,1.2,2.4,2.6,0,2,Australia,Thailand
19,0,34.5,0,3.3,0,2,Austria,Thailand
14,3.1,4,19.8,13.6,0,2,Belgium,Thailand
7,0.3,14.8,7.1,15.3,0,2,Canada,Thailand
11,5.3,1.9,13.8,3.3,0,2,Denmark,Thailand
20,0,11.1,5.7,56.8,0,2,Finland,Thailand
5,10.5,41.9,6.1,2.9,0,2,France,Thailand
3,9.6,30.3,9.6,10.3,0.1,2,Germany,Thailand
10,4.3,2,38.2,0,0,2,Italy,Thailand
2,36.7,9.9,8.3,6.7,0,2,Japan,Thailand
18,0.2,2.9,2.2,49.7,0,2,Korea,Thailand
17,0,100,0,0,0,2,Kuwait,Thailand
6,0.2,0.5,22.5,13.9,4.1,2,Netherlands,Thailand
9,0.5,6.3,4.7,11,0,2,Norway,Thailand
16,0,100,0,0,0,2,Saudi Arabia,Thailand
15,0,0.8,13.9,1,0,2,Spain,Thailand
8,1,0.5,0.7,9.5,0,2,Sweden,Thailand
12,0,4.2,3.7,0,0,2,Switzerland,Thailand
4,3.1,6.2,30.5,38,0,2,United Kingdom,Thailand
1,21.4,10.5,3.5,27.7,0.1,2,United States,Thailand
13,0,0,7.8,0,0,3,Australia,Brazil
19,0,0.1,6.1,10.9,0,3,Austria,Brazil
14,1.9,0,11.2,3.3,44.8,3,Belgium,Brazil
7,0.2,2.4,5,26.8,0,3,Canada,Brazil
11,0,0,0,0,0,3,Denmark,Brazil
20,0,0.8,0.9,17.5,0,3,Finland,Brazil
5,20.7,20.5,4.3,0.9,1.2,3,France,Brazil
3,5.4,16.7,7.3,5.3,9.7,3,Germany,Brazil
10,0,0.1,2.2,0.1,74.6,3,Italy,Brazil
2,21.1,7.4,9.2,8.5,1.1,3,Japan,Brazil
18,0,0,0.5,87.3,0,3,Korea,Brazil
6,0,0,17.8,2.6,5,3,Netherlands,Brazil
9,0,1.2,85.8,0.1,0,3,Norway,Brazil
16,0,100,0,0,0,3,Saudi Arabia,Brazil
15,0.3,0.3,5,2.7,0,3,Spain,Brazil
8,0,0.3,4.7,0,0,3,Sweden,Brazil
12,0,0,0.6,1.1,0,3,Switzerland,Brazil
4,0,14.6,15.6,6.3,6.1,3,United Kingdom,Brazil
1,28.9,10.4,0.2,19.7,0,3,United States,Brazil
13,0,0,3.1,0,0,4,Australia,Colombia
19,13.9,0.1,1.4,0,0,4,Austria,Colombia
14,0.2,0.5,5.3,2.1,0,4,Belgium,Colombia
7,0,2.6,6.6,6.7,3.5,4,Canada,Colombia
11,0,0,0,6.4,0,4,Denmark,Colombia
20,0,0.2,2.5,0,0,4,Finland,Colombia
5,12.4,0.6,1.3,0.7,0,4,France,Colombia
3,16.7,5,4.6,4.3,0,4,Germany,Colombia
10,4.1,41.4,7.3,8.5,0,4,Italy,Colombia
2,0.5,24.4,7,16.7,0,4,Japan,Colombia
18,0.3,0,6.2,4.3,0,4,Korea,Colombia
6,2.8,4.7,13.5,0.4,0,4,Netherlands,Colombia
9,0,0,0.2,0.1,0,4,Norway,Colombia
15,0.1,0.2,2.1,1.5,0,4,Spain,Colombia
8,0,0,0.2,0.1,0,4,Sweden,Colombia
12,0,6.1,2.4,2.2,0,4,Switzerland,Colombia
4,1,5,15,3.8,0,4,United Kingdom,Colombia
1,2.2,11.5,4.7,15.2,0.1,4,United States,Colombia
13,0,0,22.8,0.1,0,5,Australia,Korea
19,0,0,0,0,0,5,Austria,Korea
14,0,0,0,0,0,5,Belgium,Korea
7,0,0,0,0,0,5,Canada,Korea
5,0.8,0.8,0.2,19.7,0,5,France,Korea
3,4.2,8.5,13.7,23.9,0.2,5,Germany,Korea
10,0,0,0,0,0,5,Italy,Korea
2,8.4,10.1,7.3,31.2,0,5,Japan,Korea
6,0,0,0,0,0,5,Netherlands,Korea
16,100,0,0,0,0,5,Saudi Arabia,Korea
15,0,0,0,0,0,5,Spain,Korea
12,0,0,0,0,0,5,Switzerland,Korea
4,0,0,0,0,0,5,United Kingdom,Korea
1,48.1,12.5,1.3,7.8,2.6,5,United States,Korea
13,0,0,0,0,0,6,Australia,Poland
19,0,0,0,0,0,6,Austria,Poland
14,0,0,0,0,99.6,6,Belgium,Poland
7,0.1,0,0.4,3.9,94,6,Canada,Poland
20,0,0,0,87.9,0,6,Finland,Poland
