Donor,Transport(%),Energy(%),Agriculture(%),Industry(%),Debt(%),Recipient,Country,,,,,,
13,0,0,7.8,0,0,3,Australia,,,,,,
13,0,0,0.8,0.3,0,9,Australia,,,,,,
13,0,0,3.1,0,0,4,Australia,,,,,,
13,0.7,0.6,15.2,21.5,0,1,Australia,,,,,,
13,0,0,22.8,0.1,0,5,Australia,,,,,,
13,0,0,0,0,0,6,Australia,,,,,,
13,0,0,0,0,0,10,Australia,,,,,,
13,0,0,7.6,1.6,0,7,Australia,,,,,,
13,9,1.2,2.4,2.6,0,2,Australia,,,,,,
19,0,0.1,6.1,10.9,0,3,Austria,,,,,,
19,0,0,14.4,0,0,9,Austria,,,,,,
19,13.9,0.1,1.4,0,0,4,Austria,,,,,,
19,0.2,5,0.2,4.4,12.8,1,Austria,,,,,,
19,0,0,0,0,0,5,Austria,,,,,,
19,0,0,0,0,0,8,Austria,,,,,,
19,0,0,0,0,0,6,Austria,,,,,,`
19,29,0,0,9.5,0,10,Austria,,,,,,
19,0.1,2,4.2,0,0,7,Austria,,,,,,
19,0,34.5,0,3.3,0,2,Austria,,,,,,
14,1.9,0,11.2,3.3,44.8,3,Belgium,,,,,,
14,1.2,0,9,6.8,0,9,Belgium,,,,,,
14,0.2,0.5,5.3,2.1,0,4,Belgium,,,,,,
14,0,0.8,0.8,2.3,3.4,1,Belgium,,,,,,
14,0,0,0,0,0,5,Belgium,,,,,,
14,0,0,0,0,99.6,6,Belgium,,,,,,
14,0,0,0,0,0,10,Belgium,,,,,,
14,0,0,13.8,1.8,0,7,Belgium,,,,,,
14,3.1,4,19.8,13.6,0,2,Belgium,,,,,,
7,0.2,2.4,5,26.8,0,3,Canada,,,,,,
7,1.5,1.1,12.5,20.7,0,9,Canada,,,,,,
7,0,2.6,6.6,6.7,3.5,4,Canada,,,,,,
7,0.5,24.9,34.5,11.1,1.2,1,Canada,,,,,,
7,0,0,0,0,0,5,Canada,,,,,,
7,0,0,0,0,0,8,Canada,,,,,,
7,0.1,0,0.4,3.9,94,6,Canada,,,,,,
7,0,0,0,0,0,10,Canada,,,,,,
7,0,1,0.8,10.4,0,7,Canada,,,,,,
7,0.3,14.8,7.1,15.3,0,2,Canada,,,,,,
11,0,0,0,0,0,3,Denmark,,,,,,
11,0,0,0.3,0,0,9,Denmark,,,,,,
11,0,0,0,6.4,0,4,Denmark,,,,,,
11,0.8,5.4,15.4,13.2,1.2,1,Denmark,,,,,,
11,0,1.8,0.2,6.2,0,7,Denmark,,,,,,
11,5.3,1.9,13.8,3.3,0,2,Denmark,,,,,,
20,0,0.8,0.9,17.5,0,3,Finland,,,,,,
20,0,0,11.2,2.3,0,9,Finland,,,,,,
20,0,0.2,2.5,0,0,4,Finland,,,,,,
20,0,2.5,0.6,45.4,0.2,1,Finland,,,,,,
20,0,0,0,87.9,0,6,Finland,,,,,,
20,0,0,0,0,0,10,Finland,,,,,,
20,0,0,7.9,1.1,0,7,Finland,,,,,,
20,0,11.1,5.7,56.8,0,2,Finland,,,,,,
5,20.7,20.5,4.3,0.9,1.2,3,France,,,,,,
5,32.9,0.1,1.4,0.5,3.8,9,France,,,,,,
5,12.4,0.6,1.3,0.7,0,4,France,,,,,,
5,6.3,16.8,2.3,34.1,4,1,France,,,,,,
5,0.8,0.8,0.2,19.7,0,5,France,,,,,,
5,0,0,0,0.1,0,8,France,,,,,,
5,0.2,0.1,0.1,0.4,69,6,France,,,,,,
5,0,0,0.2,0.4,0,10,France,,,,,,
5,2,16,1.9,0.9,0,7,France,,,,,,
5,10.5,41.9,6.1,2.9,0,2,France,,,,,,
3,5.4,16.7,7.3,5.3,9.7,3,Germany,,,,,,
3,0.1,14.2,1.9,1.1,14.9,9,Germany,,,,,,
3,16.7,5,4.6,4.3,0,4,Germany,,,,,,
3,2.8,25.5,6.1,17.9,3.9,1,Germany,,,,,,
3,4.2,8.5,13.7,23.9,0.2,5,Germany,,,,,,
3,0,0,0,0,1.3,8,Germany,,,,,,
3,0,0,0,0,98.3,6,Germany,,,,,,
3,0,0,0,0,11.3,10,Germany,,,,,,
3,0,19.7,1.8,0.4,0,7,Germany,,,,,,
3,9.6,30.3,9.6,10.3,0.1,2,Germany,,,,,,
10,0,0.1,2.2,0.1,74.6,3,Italy,,,,,,
10,0,0,4.7,1.3,0,9,Italy,,,,,,
10,4.1,41.4,7.3,8.5,0,4,Italy,,,,,,
10,0,32.3,6.3,26.3,6,1,Italy,,,,,,
10,0,0,0,0,0,5,Italy,,,,,,
10,0,0,0,0,0,8,Italy,,,,,,
10,3.6,0,0.3,10.6,0,6,Italy,,,,,,
10,0,0,0,0,0,10,Italy,,,,,,
10,0,0.1,0.1,0,0,7,Italy,,,,,,
10,4.3,2,38.2,0,0,2,Italy,,,,,,
2,21.1,7.4,9.2,8.5,1.1,3,Japan,,,,,,
2,11.7,0,49.3,1.5,0.5,9,Japan,,,,,,
2,0.5,24.4,7,16.7,0,4,Japan,,,,,,
2,27.8,25.8,7.1,14.2,2.5,1,Japan,,,,,,
2,8.4,10.1,7.3,31.2,0,5,Japan,,,,,,
2,11.9,0,0,0,0,8,Japan,,,,,,
2,2.2,0.1,0,0.9,88.2,6,Japan,,,,,,
2,1.8,0,0,91.1,0,10,Japan,,,,,,
2,33.2,14.8,0.2,12.2,0,7,Japan,,,,,,
2,36.7,9.9,8.3,6.7,0,2,Japan,,,,,,
18,0,0,0.5,87.3,0,3,Korea,,,,,,
18,0.1,0,0,90.2,0,9,Korea,,,,,,
18,0.3,0,6.2,4.3,0,4,Korea,,,,,,
18,62.7,0,0,27.5,0,1,Korea,,,,,,
18,0,85.8,0,0,0,10,Korea,,,,,,
