Country,Donate,Receive,Donate1,Receive1,Net,Rank
India,0,1.34E+11,0,133980.47,-133980.47,1
Thailand,25461,49041317440,0.025461,49041.31744,-49041.29198,2
Brazil,1134440,36607258078,1.13444,36607.25808,-36606.12364,3
Colombia,190795,25530536307,0.190795,25530.53631,-25530.34552,4
Poland,403184,24517225188,0.403184,24517.22519,-24516.82201,5
South Korea,1299047720,25294323453,1299.04772,25294.32345,-23995.27573,6
South Africa,0,18655555070,0,18655.55507,-18655.55507,7
Chile,564349,7334129130,0.564349,7334.12913,-7333.564781,8
Kuwait,1369078319,7771540076,1369.078319,7771.540076,-6402.461757,9
Romania,0,3329059861,0,3329.059861,-3329.059861,10
Taiwan,83737498,3399554410,83.737498,3399.55441,-3315.816912,11
Saudi Arabia,1698410689,4877749103,1698.410689,4877.749103,-3179.338414,12
Hungary,324552,2925327491,0.324552,2925.327491,-2925.002939,13
Czechia,8930435,2141913341,8.930435,2141.913341,-2132.982906,14
Cyprus,5599,968154947,0.005599,968.154947,-968.149348,15
Slovakia,395574,821195623,0.395574,821.195623,-820.800049,16
Ireland,295144458,934638729,295.144458,934.638729,-639.494271,17
Qatar,104519053,733783749,104.519053,733.783749,-629.264696,18
Lithuania,0,514143270,0,514.14327,-514.14327,19
Greece,32667185,519377906,32.667185,519.377906,-486.710721,20
Luxembourg,111554022,555039832,111.554022,555.039832,-443.48581,21
Latvia,0,423495040,0,423.49504,-423.49504,22
Estonia,278942,251349503,0.278942,251.349503,-251.070561,23
United Arab Emirates,67636986,300206472,67.636986,300.206472,-232.569486,24
Slovenia,150028,225435200,0.150028,225.4352,-225.285172,25
New Zealand,56749885,225588310,56.749885,225.58831,-168.838425,26
Australia,2446616312,2572618261,2446.616312,2572.618261,-126.001949,27
Portugal,68900866,175242606,68.900866,175.242606,-106.34174,28
Iceland,172501,18060045,0.172501,18.060045,-17.887544,29
Liechtenstein,4370700,18393083,4.3707,18.393083,-14.022383,30
Monaco,941387,0,0.941387,0,0.941387,31
Austria,784068952,770267419,784.068952,770.267419,13.801533,32
Finland,665953415,180695493,665.953415,180.695493,485.257922,33
Italy,3835655974,2400826417,3835.655974,2400.826417,1434.829557,34
Spain,2014695904,561711808,2014.695904,561.711808,1452.984096,35
Belgium,2144445270,184346233,2144.44527,184.346233,1960.099037,36
Denmark,2952416405,166310586,2952.416405,166.310586,2786.105819,37
Switzerland,2844087953,326783,2844.087953,0.326783,2843.76117,38
Canada,7466338200,4068652966,7466.3382,4068.652966,3397.685234,39
Norway,4416814418,368001981,4416.814418,368.001981,4048.812437,40
Sweden,6364045876,59757155,6364.045876,59.757155,6304.288721,41
Netherlands,8939647189,0,8939.647189,0,8939.647189,42
France,15456459635,237540854,15456.45964,237.540854,15218.91879,43
United Kingdom,23690539376,957343964,23690.53938,957.343964,22733.19542,44
Germany,47218438821,60164,47218.43882,0.060164,47218.37866,45
Japan,1.14E+11,2081102258,114182,2081.102258,112100.8977,46
United States of America,1.16E+11,104524992,116176,104.524992,116071.475,47
